ID,Sex,Population,Ancestral group,GOL,NOL,BNL,BBH,XCB,XFB,ZYB,AUB,WCB,ASB,BPL,NPH,NLH,JUB,NLB,MAB,MDH,MDB,OBH,OBB,DKB,NDS,WNB,SIS,ZMB,SSS,FMB,NAS,EKB,DKS,IML,XML,MLS,WMH,SOS,GLS,STB,FRC,FRS,FRF,PAC,PAS,PAF,OCC,OCS,OCF,FOL,NAR,SSR,PRR,DKR,ZOR,FMR,EKR,ZMR,AVR,BRR,VRR,LAR,OSR,BAR,NAA,PRA,BAA,NBA,BBA,BRA,SSA,NFA,DKA,NDA,SIA,FRA,PAA,OCA,RFA,RPA,ROA,BSA,SBA,SLA,TBA
2094,M,AINU,East Asian,5.262690188905,5.247024072161,4.691347882229,4.897839799951,4.990432586779,4.828313737302,4.96284463026,4.828313737302,4.330733340286,4.795790545597,4.700480365792,4.174387269896,3.912023005428,4.820281565605,3.401197381662,4.262679877041,3.367295829986,2.639057329615,3.555348061489,3.713572066704,3.258096538021,2.484906649788,2.468099531472,1.435084525289,4.605170185988,3.135494215929,4.63472898823,2.708050201102,4.663439094112,2.197224577336,3.66356164613,4.143134726392,2.564949357462,3.218875824868,1.38629436112,1.38629436112,4.804021044733,4.718498871295,3.258096538021,3.912023005428,4.779123493112,3.258096538021,4.174387269896,4.54329478227,3.367295829986,3.85014760171,3.610917912644,4.584967478671,4.605170185988,4.682131227124,4.454347296253,4.465908118655,4.430816798843,4.330733340286,4.35670882669,4.465908118655,4.779123493112,4.812184355372,4.718498871295,3.784189633918,2.708050201102,4.304065093204,4.276666119016,3.555348061489,4.317488113536,3.988984046564,3.951243718581,4.875197323201,4.997212273764,5.043425116919,4.553876891601,4.691347882229,4.867534450456,4.882801922586,4.762173934798,4.110873864173,4.127134385045,4.007333185232,5.159055299215,4.663439094112,4.430816798843,5.030437921392
2095,M,AINU,East Asian,5.247024072161,5.24174701506,4.653960350158,4.905274778438,4.976733742421,4.779123493112,4.934473933131,4.859812404362,4.276666119016,4.736198448395,4.624972813284,4.174387269896,3.871201010908,4.787491742782,3.295836866004,4.219507705176,3.332204510175,2.639057329615,3.526360524616,3.713572066704,3.044522437723,2.484906649788,2.174751721484,1.163150809806,4.574710978503,2.995732273554,4.574710978503,2.890371757896,4.595119850135,2.302585092994,3.637586159726,4.043051267835,2.564949357462,3.135494215929,1.38629436112,1.098612288668,4.770684624466,4.727387818712,3.218875824868,3.970291913552,4.779123493112,3.091042453358,3.988984046564,4.624972813284,3.178053830348,3.871201010908,3.688879454114,4.574710978503,4.574710978503,4.663439094112,4.454347296253,4.454347296253,4.406719247264,4.330733340286,4.343805421854,4.454347296253,4.770684624466,4.804021044733,4.736198448395,3.80666248977,2.890371757896,4.234106504597,4.304065093204,3.610917912644,4.330733340286,3.988984046564,3.891820298111,4.905274778438,4.934473933131,5.023880520846,4.406719247264,4.682131227124,4.882801922586,4.934473933131,4.859812404362,4.143134726392,4.127134385045,4.143134726392,5.123963979403,4.672828834462,4.430816798843,5.003946305945
2096,M,AINU,East Asian,5.214935757609,5.204006687077,4.624972813284,4.912654885736,4.948759890378,4.762173934798,4.934473933131,4.820281565605,4.304065093204,4.744932128363,4.700480365792,4.204692619391,3.828641396489,4.804021044733,3.295836866004,4.174387269896,3.178053830348,2.77258872224,3.526360524616,3.713572066704,3.091042453358,2.197224577336,1.667706820558,-0.69314718056,4.672828834462,2.995732273554,4.574710978503,2.708050201102,4.63472898823,2.197224577336,3.332204510175,3.891820298111,2.397895272798,3.178053830348,1.609437912434,1.38629436112,4.744932128363,4.691347882229,3.218875824868,4.007333185232,4.762173934798,3.218875824868,4.077537443906,4.564348191468,3.367295829986,3.871201010908,3.610917912644,4.49980967033,4.532599493153,4.663439094112,4.406719247264,4.406719247264,4.369447852467,4.290459441148,4.330733340286,4.477336814478,4.795790545597,4.844187086459,4.744932128363,3.784189633918,2.708050201102,4.35670882669,4.174387269896,3.610917912644,4.382026634674,3.951243718581,3.871201010908,4.934473933131,4.983606621708,5.043425116919,4.615120516841,5.06890420222,4.875197323201,4.897839799951,4.770684624466,4.094344562222,4.077537443906,3.988984046564,5.198497031266,4.63472898823,4.44265125649,5.030437921392
2097,M,AINU,East Asian,5.23644196283,5.225746673713,4.615120516841,4.934473933131,5.003946305945,4.762173934798,4.927253685157,4.875197323201,4.35670882669,4.744932128363,4.624972813284,4.174387269896,3.871201010908,4.795790545597,3.332204510175,4.248495242049,3.401197381662,2.708050201102,3.526360524616,3.761200115694,2.995732273554,2.197224577336,1.887069649032,0.262364264467,4.54329478227,3.332204510175,4.615120516841,2.77258872224,4.644390899141,2.302585092994,3.583518938456,3.988984046564,2.484906649788,3.091042453358,1.38629436112,1.38629436112,4.762173934798,4.744932128363,3.367295829986,3.931825632724,4.736198448395,3.135494215929,3.970291913552,4.624972813284,3.332204510175,3.871201010908,3.66356164613,4.532599493153,4.615120516841,4.644390899141,4.430816798843,4.430816798843,4.35670882669,4.290459441148,4.317488113536,4.394449154672,4.812184355372,4.867534450456,4.770684624466,3.784189633918,2.833213344056,4.276666119016,4.248495242049,3.610917912644,4.382026634674,4.007333185232,3.828641396489,4.770684624466,4.976733742421,5.030437921392,4.564348191468,4.919980925828,4.836281906952,4.912654885736,4.804021044733,4.143134726392,4.025351690735,4.060443010546,5.153291594498,4.653960350158,4.454347296253,5.017279836815
2098,M,AINU,East Asian,5.267858159063,5.257495372028,4.709530201312,4.912654885736,4.983606621708,4.762173934798,4.955827057601,4.890349128222,4.276666119016,4.804021044733,4.691347882229,4.262679877041,3.931825632724,4.828313737302,3.332204510175,4.234106504597,3.401197381662,2.639057329615,3.496507561466,3.713572066704,3.091042453358,2.484906649788,2.351375257163,1.435084525289,4.624972813284,3.178053830348,4.605170185988,2.890371757896,4.624972813284,2.302585092994,3.583518938456,4.043051267835,2.564949357462,3.258096538021,1.609437912434,1.609437912434,4.718498871295,4.718498871295,3.218875824868,4.007333185232,4.700480365792,2.995732273554,4.025351690735,4.663439094112,3.4657359028,4.025351690735,3.555348061489,4.595119850135,4.605170185988,4.663439094112,4.44265125649,4.465908118655,4.394449154672,4.343805421854,4.369447852467,4.454347296253,4.779123493112,4.812184355372,4.753590191106,3.828641396489,2.890371757896,4.248495242049,4.290459441148,3.637586159726,4.317488113536,3.970291913552,3.951243718581,4.867534450456,4.941642422609,5.023880520846,4.44265125649,4.63472898823,4.882801922586,4.941642422609,4.770684624466,4.110873864173,4.025351690735,4.189654742026,5.123963979403,4.709530201312,4.465908118655,5.010635294096
2099,M,AINU,East Asian,5.247024072161,5.220355825078,4.653960350158,4.919980925828,4.941642422609,4.753590191106,4.897839799951,4.804021044733,4.234106504597,4.727387818712,4.672828834462,4.174387269896,3.912023005428,4.787491742782,3.367295829986,4.143134726392,3.433987204485,2.77258872224,3.555348061489,3.737669618283,3.044522437723,2.197224577336,2.163323025661,1.30833281965,4.605170185988,3.332204510175,4.624972813284,2.77258872224,4.63472898823,2.197224577336,3.526360524616,4.007333185232,2.564949357462,3.044522437723,2.07944154168,1.791759469228,4.753590191106,4.753590191106,3.367295829986,4.007333185232,4.762173934798,3.258096538021,4.110873864173,4.574710978503,3.332204510175,3.891820298111,3.555348061489,4.54329478227,4.605170185988,4.644390899141,4.406719247264,4.382026634674,4.369447852467,4.290459441148,4.276666119016,4.418840607797,4.812184355372,4.859812404362,4.736198448395,3.761200115694,2.708050201102,4.304065093204,4.248495242049,3.583518938456,4.330733340286,4.007333185232,3.871201010908,4.804021044733,4.976733742421,5.043425116919,4.595119850135,4.595119850135,4.844187086459,4.882801922586,4.787491742782,4.143134726392,4.077537443906,4.025351690735,5.153291594498,4.63472898823,4.454347296253,5.023880520846
2100,M,AINU,East Asian,5.257495372028,5.24174701506,4.672828834462,4.912654885736,4.927253685157,4.779123493112,4.96284463026,4.836281906952,4.330733340286,4.709530201312,4.672828834462,4.248495242049,3.970291913552,4.867534450456,3.433987204485,4.15888308336,3.401197381662,2.484906649788,3.526360524616,3.80666248977,3.135494215929,2.197224577336,2.240709689276,1.335001066732,4.605170185988,3.218875824868,4.663439094112,2.944438979166,4.682131227124,2.484906649788,3.496507561466,4.043051267835,2.639057329615,3.178053830348,1.609437912434,1.609437912434,4.682131227124,4.718498871295,3.332204510175,3.931825632724,4.718498871295,3.218875824868,4.077537443906,4.653960350158,3.526360524616,3.951243718581,3.66356164613,4.584967478671,4.553876891601,4.663439094112,4.488636369732,4.454347296253,4.394449154672,4.343805421854,4.304065093204,4.477336814478,4.804021044733,4.859812404362,4.762173934798,3.784189633918,2.77258872224,4.262679877041,4.262679877041,3.637586159726,4.343805421854,3.970291913552,3.912023005428,4.844187086459,4.948759890378,5.003946305945,4.644390899141,4.624972813284,4.844187086459,4.882801922586,4.736198448395,4.094344562222,4.025351690735,4.143134726392,5.198497031266,4.691347882229,4.454347296253,5.017279836815
2101,M,AINU,East Asian,5.23644196283,5.214935757609,4.624972813284,4.941642422609,4.941642422609,4.718498871295,4.844187086459,4.744932128363,4.189654742026,4.727387818712,4.63472898823,4.110873864173,3.828641396489,4.727387818712,3.218875824868,4.127134385045,3.218875824868,2.639057329615,3.4657359028,3.610917912644,2.890371757896,2.302585092994,1.902107526397,1.526056303495,4.510859506517,3.178053830348,4.49980967033,2.639057329615,4.521788577049,2.07944154168,3.401197381662,3.85014760171,2.302585092994,3.218875824868,1.609437912434,1.609437912434,4.663439094112,4.718498871295,3.258096538021,3.891820298111,4.718498871295,2.944438979166,4.043051267835,4.682131227124,3.496507561466,3.871201010908,3.583518938456,4.521788577049,4.553876891601,4.605170185988,4.406719247264,4.369447852467,4.369447852467,4.290459441148,4.276666119016,4.44265125649,4.812184355372,4.812184355372,4.744932128363,3.80666248977,2.890371757896,4.304065093204,4.276666119016,3.555348061489,4.406719247264,3.951243718581,3.828641396489,4.820281565605,4.976733742421,5.043425116919,4.430816798843,4.276666119016,4.867534450456,4.96284463026,4.762173934798,4.110873864173,4.025351690735,4.248495242049,5.170483995038,4.644390899141,4.488636369732,4.976733742421
2102,M,AINU,East Asian,5.220355825078,5.204006687077,4.644390899141,4.919980925828,4.96284463026,4.744932128363,4.927253685157,4.844187086459,4.290459441148,4.727387818712,4.564348191468,4.15888308336,3.931825632724,4.795790545597,3.367295829986,4.219507705176,3.496507561466,2.833213344056,3.526360524616,3.761200115694,2.944438979166,2.397895272798,2.163323025661,1.435084525289,4.564348191468,3.178053830348,4.584967478671,2.708050201102,4.624972813284,2.397895272798,3.526360524616,3.912023005428,2.302585092994,2.995732273554,1.945910149055,1.609437912434,4.736198448395,4.672828834462,3.135494215929,3.871201010908,4.744932128363,3.218875824868,4.077537443906,4.615120516841,3.332204510175,3.912023005428,3.583518938456,4.553876891601,4.54329478227,4.584967478671,4.406719247264,4.343805421854,4.35670882669,4.234106504597,4.262679877041,4.406719247264,4.770684624466,4.787491742782,4.653960350158,3.828641396489,2.944438979166,4.174387269896,4.35670882669,3.610917912644,4.394449154672,3.912023005428,3.891820298111,4.844187086459,4.983606621708,5.010635294096,4.406719247264,4.521788577049,4.890349128222,4.890349128222,4.804021044733,4.077537443906,4.127134385045,4.276666119016,5.075173815234,4.63472898823,4.49980967033,4.990432586779
2103,M,AINU,East Asian,5.204006687077,5.198497031266,4.663439094112,4.890349128222,4.912654885736,4.779123493112,4.882801922586,4.812184355372,4.304065093204,4.672828834462,4.663439094112,4.174387269896,3.912023005428,4.744932128363,3.332204510175,4.15888308336,3.258096538021,2.564949357462,3.401197381662,3.66356164613,3.135494215929,2.564949357462,2.240709689276,1.360976553136,4.574710978503,3.135494215929,4.54329478227,2.77258872224,4.564348191468,2.397895272798,3.555348061489,3.970291913552,2.397895272798,3.178053830348,1.609437912434,1.098612288668,4.753590191106,4.682131227124,3.367295829986,3.761200115694,4.736198448395,3.135494215929,4.127134385045,4.510859506517,3.295836866004,3.85014760171,3.583518938456,4.584967478671,4.605170185988,4.672828834462,4.477336814478,4.465908118655,4.406719247264,4.317488113536,4.343805421854,4.430816798843,4.779123493112,4.795790545597,4.663439094112,3.713572066704,2.708050201102,4.276666119016,4.276666119016,3.583518938456,4.343805421854,3.951243718581,3.931825632724,4.859812404362,4.955827057601,4.990432586779,4.418840607797,4.615120516841,4.804021044733,4.912654885736,4.779123493112,4.077537443906,4.110873864173,4.060443010546,5.147494476813,4.653960350158,4.477336814478,5.030437921392
