DISTANCE,AINU,ANDAMAN,ARIKARA,ATAYAL,AUSTRALI,BERG,BURYAT,SAN,DOGON,EASTER I,EGYPT,INUIT,GUAM,HAINAN,MOKAPU,MORIORI,N JAPAN,NORSE,PERU,S JAPAN,SANTA CR,TASMANIA,TAITA,TOLAI,ZALAVAR,ZULU
EGYPT,9419.61753438038,6588.69154109896,10391.9991654261,8621.15222766564,13393.6466267463,2351.03434568934,6603.67291298496,6106.60775619224,4467.18379849386,16170.3375943748,0,6694.9790920395,11422.8094691587,7898.93276225319,14203.4454992619,17125.9003533121,9214.61918467233,3656.78101288973,12332.2253454886,9052.87177750005,12267.7326056674,14224.8742487283,3800.60854020448,13219.2025025801,2211.49888872077,6484.24026766636
INUIT,8016.45969126974,10975.7204784885,3706.83597606112,10204.508906626,16734.3245404292,4350.75132845242,6796.59796420143,11885.3125237897,6639.49112904895,11306.890199657,6694.9790920395,0,11263.9175857554,10526.5533982501,8620.61079520432,15957.0411322852,8035.70036138774,3156.90497223506,8763.42950465692,9207.53357188688,5593.09160209338,17274.2550584551,10358.7491231283,13190.0004827462,4483.61605406836,12495.2387299041
GUAM,3278.52333422837,5633.04927885472,10830.4526625376,2828.43723413107,5472.25802064787,11711.7305922546,5449.48593332714,13527.64042962,15840.5822915215,12231.1262540891,11422.8094691587,11263.9175857554,0,3736.73307283856,6096.99606072225,7496.40266675542,3304.40996516007,10885.1669002806,15603.1264003147,2581.97582735918,9663.02372746144,6175.01417528882,11872.3904255571,2211.53615175825,11537.8342705905,12987.2011616493
HAINAN,4068.8337785527,2052.49177456728,12207.075387357,1105.40826317583,6870.02965410257,8847.99172861334,3757.322755934,10389.0437582456,12354.1822344432,15909.0333589182,7898.93276225319,10526.5533982501,3736.73307283856,0,9370.84580555774,10275.015072055,3859.70895067405,8609.93530468061,18942.0448529395,2504.30862805416,12006.8569155702,7857.51111203157,8263.61622924065,5321.6496731123,8637.6869611703,10026.9977299222
MOKAPU,5794.79013813635,11423.2452617888,5813.92990444195,8267.64638897031,9154.3106301018,12403.9647687959,8267.39934411288,19481.8400946635,15001.8323923568,7519.0211232196,14203.4454992619,8620.61079520432,6096.99606072225,9370.84580555774,0,7520.075412108,6041.36509565495,10908.6090965328,9712.38684905371,7009.77643537967,3988.26933652758,9037.12369960212,17340.1710324067,6223.75639388464,12421.9788526659,18800.7905419519
MORIORI,10423.5063130714,11027.8316790628,12373.1976674241,9909.60522351201,3865.10323836253,19121.7481418272,12942.5487705513,12046.8025023724,16359.4464674539,6178.57097808038,17125.9003533121,15957.0411322852,7496.40266675542,10275.015072055,7520.075412108,0,10547.5030229054,18180.6297235631,9874.59488462727,10077.6437638021,10400.7552525493,2952.17971313698,13694.998524855,5314.49648377344,18907.5418319292,11489.445846361
N JAPAN,246.727527406258,5750.99916207562,8531.08914218998,2883.41680891799,8729.46877067324,8763.68691423923,2615.91047414902,13871.9222431384,13078.8138500643,13535.6221770106,9214.61918467233,8035.70036138774,3304.40996516007,3859.70895067405,6041.36509565495,10547.5030229054,0,7713.75128894328,15082.883614668,1437.92550522321,8147.31243010251,9475.39020279564,11319.217865102,5464.42494057741,8626.53163016463,13663.0260406752
NORSE,7819.92708543785,8362.71747469348,6845.24497068486,8747.30548369414,15459.6070070636,1495.35567846828,5466.90227364964,9502.60853220292,5475.09703910867,14252.8640897414,3656.78101288973,3156.90497223506,10885.1669002806,8609.93530468061,10908.6090965328,18180.6297235631,7713.75128894328,0,11017.8078587901,8336.69855901718,8632.84169626846,16457.8330951871,7445.74774225072,13096.5327380337,1530.0741591025,9986.44297217819
PERU,14875.4162979765,18783.1131647823,6782.68083314429,17894.2084420257,13540.252719572,11026.0335969315,15394.3203574803,10591.7423151347,7992.08229584638,3843.64508157991,12332.2253454886,8763.42950465692,15603.1264003147,18942.0448529395,9712.38684905371,9874.59488462727,15082.883614668,11017.8078587901,0,16452.5224143008,6936.3504235494,12539.3609199548,12547.3637603663,14394.7991766375,11243.264615924,10991.1268759849
S JAPAN,1610.9998426612,4498.41118331151,9968.13450145271,1463.64240066311,7654.05969624051,9131.56320463698,2875.83954712607,12808.6428480041,13330.3632166963,14245.8947599567,9052.87177750005,9207.53357188688,2581.97582735918,2504.30862805416,7009.77643537967,10077.6437638021,1437.92550522321,8336.69855901718,16452.5224143008,0,9529.15569295417,8497.94351785041,10458.169571404,4774.76202874983,8960.29172900969,12497.3751923515
SANTA CR,7939.28323791704,13807.9532601529,2022.5384005496,10990.6906102435,13015.7409682123,9938.78274843587,9174.33595866401,16541.3057624921,11139.6854314802,6882.56972741629,12267.7326056674,5593.09160209338,9663.02372746144,12006.8569155702,3988.26933652758,10400.7552525493,8147.31243010251,8632.84169626846,6936.3504235494,9529.15569295417,0,12694.6095452669,15931.1430395852,10193.2642788935,10060.9302580175,17204.4654882205
TASMANIA,9452.88587731042,8205.30787836086,14708.2189299465,7820.29440128361,1000.94133193077,16272.9925641058,11241.3401664846,10452.1103957964,15954.0793066344,9053.75539315652,14224.8742487283,17274.2550584551,6175.01417528882,7857.51111203157,9037.12369960212,2952.17971313698,9475.39020279564,16457.8330951871,12539.3609199548,8497.94351785041,12694.6095452669,0,11266.042132368,4122.4198570377,16059.3702906871,9787.48649309835
TAITA,11564.8957824448,6259.08174074864,13935.5547787001,9334.42069978427,10750.263848389,6048.64047244837,9086.34298242753,2710.93874018546,5427.81011275725,15165.6881831355,3800.60854020448,10358.7491231283,11872.3904255571,8263.61622924065,17340.1710324067,13694.998524855,11319.217865102,7445.74774225072,12547.3637603663,10458.169571404,15931.1430395852,11266.042132368,0,12549.6934132135,5949.98371672693,2858.52209937703
TOLAI,5405.02656615585,6808.13236759969,11829.590606204,4697.59789791634,3604.23825524945,13866.3161563247,7650.15336841905,13288.2515462115,17641.0248922958,10618.5921677984,13219.2025025801,13190.0004827462,2211.53615175825,5321.6496731123,6223.75639388464,5314.49648377344,5464.42494057741,13096.5327380337,14394.7991766375,4774.76202874983,10193.2642788935,4122.4198570377,12549.6934132135,0,13681.1901544506,12630.516262171
ZALAVAR,8774.46580517143,7903.94478895313,8183.77077765071,9035.26592796059,15105.2483702831,218.389033095899,6130.59224338848,7978.68041175791,4454.76948989724,14903.2070937672,2211.49888872077,4483.61605406836,11537.8342705905,8637.6869611703,12421.9788526659,18907.5418319292,8626.53163016463,1530.0741591025,11243.264615924,8960.29172900969,10060.9302580175,16059.3702906871,5949.98371672693,13681.1901544506,0,8456.49082421863
ZULU,13905.2758641475,7999.91429388733,15413.508480925,11126.601144932,9647.56221046688,8504.24837973504,11771.8666580839,681.545423888615,6220.12356096244,12568.3390593188,6484.24026766636,12495.2387299041,12987.2011616493,10026.9977299222,18800.7905419519,11489.445846361,13663.0260406752,9986.44297217819,10991.1268759849,12497.3751923515,17204.4654882205,9787.48649309835,2858.52209937703,12630.516262171,8456.49082421863,0
